city,cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,temp,wind
san patricio,4726521.0,40.0,US,1607567839.0,67.0,28.02,-97.52,16.11,14.97,4.1
duluth,5024719.0,1.0,US,1607567839.0,69.0,46.78,-92.11,3.0,2.45,1.5
sivaki,2016477.0,100.0,RU,1607567840.0,92.0,52.63,126.75,-16.62,-16.62,1.42
ponta do sol,2264557.0,40.0,PT,1607567840.0,72.0,32.67,-17.1,17.0,14.34,4.1
xicotencatl,3483063.0,0.0,MX,1607567840.0,57.0,23.02,-98.88,19.44,16.96,1.88
port hardy,6111862.0,90.0,CA,1607567840.0,100.0,50.7,-127.42,7.0,4.55,1.0
aklavik,5882953.0,100.0,CA,1607567840.0,76.0,68.22,-135.01,-21.0,-21.0,1.5
sao gabriel da cachoeira,3662342.0,38.0,BR,1607567841.0,92.0,-0.13,-67.09,23.44,23.44,0.73
gold coast,2165087.0,82.0,AU,1607567841.0,57.0,-28.0,153.43,28.33,27.83,5.7
norrtalje,2688250.0,100.0,SE,1607567841.0,86.0,59.76,18.7,6.67,4.23,3.13
cooma,2170577.0,90.0,AU,1607567842.0,59.0,-36.23,149.13,16.0,16.0,4.6
nuuk,3421319.0,42.0,GL,1607567811.0,62.0,64.18,-51.72,-6.0,-6.0,5.1
zaozerne,687726.0,74.0,UA,1607567842.0,88.0,45.16,33.28,7.12,7.12,4.1
tuy hoa,1563281.0,100.0,VN,1607567842.0,88.0,13.08,109.3,23.26,23.26,4.13
port elizabeth,964420.0,75.0,ZA,1607567843.0,93.0,-33.92,25.57,18.0,18.0,2.1
labelle,4161075.0,20.0,US,1607567843.0,93.0,26.76,-81.44,11.67,10.26,2.6
zhigalovo,2012532.0,100.0,RU,1607567843.0,85.0,54.81,105.16,-20.89,-20.89,2.22
mokshan,525659.0,4.0,RU,1607567844.0,40.0,53.44,44.61,-10.56,-10.56,2.8
flinders,6255012.0,62.0,AU,1607567844.0,62.0,-34.58,150.86,23.89,22.5,5.36
mount isa,2065594.0,100.0,AU,1607567844.0,7.0,-20.73,139.5,37.0,37.0,3.6
san quintin,3984997.0,99.0,MX,1607567844.0,83.0,30.48,-115.95,15.36,15.36,3.8
tomatlan,3981391.0,0.0,MX,1607567844.0,84.0,19.93,-105.25,21.32,21.32,1.11
sao joao da barra,3448903.0,100.0,BR,1607567726.0,89.0,-21.64,-41.05,22.87,22.87,0.57
thompson,6165406.0,75.0,CA,1607567845.0,85.0,55.74,-97.86,-8.0,-8.0,3.1
cumana,3644768.0,24.0,VE,1607567845.0,100.0,10.46,-64.18,20.0,20.0,4.6
mantua,3174050.0,97.0,IT,1607567845.0,98.0,45.17,10.78,6.11,5.73,0.45
lichinga,1043893.0,40.0,MZ,1607567586.0,93.0,-13.31,35.24,19.0,18.94,4.6
yerbogachen,2012956.0,100.0,RU,1607567846.0,88.0,61.28,108.01,-26.76,-26.76,1.49
padang,1633419.0,100.0,ID,1607567664.0,79.0,-0.95,100.35,26.02,26.02,3.14
mitsamiouli,921786.0,92.0,KM,1607567846.0,68.0,-11.38,43.28,27.62,27.62,3.17
egvekinot,4031742.0,100.0,RU,1607567847.0,96.0,66.32,-179.17,-14.45,-14.45,0.24
tuatapere,2180815.0,47.0,NZ,1607567847.0,83.0,-46.13,167.68,15.0,15.0,7.15
kruisfontein,986717.0,100.0,ZA,1607567847.0,97.0,-34.0,24.73,17.22,17.22,0.89
axim,2303611.0,27.0,GH,1607567847.0,88.0,4.87,-2.24,25.6,25.6,3.42
najran,103630.0,0.0,SA,1607567848.0,61.0,17.49,44.13,10.0,10.0,0.66
kampot,1831112.0,0.0,KH,1607567848.0,66.0,10.62,104.18,29.0,29.0,3.6
porto velho,3662762.0,40.0,BR,1607567849.0,94.0,-8.76,-63.9,25.0,25.0,0.5
kismayo,55671.0,100.0,SO,1607567849.0,80.0,-0.36,42.55,26.09,26.09,5.71
saint-joseph,6690296.0,90.0,RE,1607567849.0,78.0,-21.37,55.62,24.0,24.0,6.7
paita,3694112.0,99.0,PE,1607567559.0,81.0,-5.09,-81.11,20.29,20.29,3.49
banjarmasin,1650213.0,20.0,ID,1607567849.0,74.0,-3.32,114.59,29.0,29.0,2.6
nouadhibou,2377457.0,0.0,MR,1607567849.0,77.0,20.93,-17.03,17.0,17.0,9.3
verkh-chebula,1487599.0,100.0,RU,1607567850.0,89.0,56.03,87.62,-14.94,-14.94,5.16
leningradskiy,2123814.0,99.0,RU,1607567850.0,89.0,69.38,178.42,-16.97,-16.97,0.29
taltal,3870243.0,27.0,CL,1607567850.0,78.0,-25.4,-70.48,14.71,14.71,0.92
tawau,1734199.0,20.0,MY,1607567850.0,74.0,4.25,117.89,30.0,30.0,2.6
ondangwa,3354247.0,72.0,NA,1607567850.0,20.0,-17.92,15.95,23.68,23.68,3.39
meulaboh,1214488.0,46.0,ID,1607567851.0,74.0,4.14,96.13,28.41,28.41,2.91
naze,1855540.0,75.0,JP,1607567699.0,83.0,28.37,129.48,22.0,22.0,6.2
chuy,3443061.0,0.0,UY,1607567851.0,91.0,-33.7,-53.46,17.33,17.33,3.82
tasiilaq,3424607.0,0.0,GL,1607567852.0,52.0,65.61,-37.64,-9.0,-9.0,2.6
shu,1519030.0,56.0,KZ,1607567853.0,92.0,43.6,73.76,-8.76,-8.76,1.6
moshny,700730.0,3.0,UA,1607567854.0,93.0,49.51,31.75,-4.85,-4.85,3.81
wanning,1791779.0,100.0,CN,1607567849.0,89.0,18.8,110.4,21.63,21.63,5.59
alindao,240999.0,98.0,CF,1607567854.0,53.0,5.03,21.21,21.19,21.19,0.26
upernavik,3418910.0,100.0,GL,1607567854.0,95.0,72.79,-56.15,-4.71,-4.71,3.44
mariestad,2692613.0,100.0,SE,1607567854.0,86.0,58.71,13.82,3.0,2.46,4.1
lake cowichan,6048316.0,5.0,CA,1607567855.0,100.0,48.83,-124.05,4.44,3.98,1.0
yelkhovka,467819.0,0.0,RU,1607567857.0,77.0,53.87,50.28,-14.0,-14.0,3.0
port macquarie,2152659.0,84.0,AU,1607567857.0,39.0,-31.43,152.92,32.22,30.34,1.34
port pirie,2063030.0,100.0,AU,1607567858.0,47.0,-33.18,138.02,24.0,24.0,7.2
shaowu,1795857.0,97.0,CN,1607567858.0,71.0,27.34,117.48,15.28,15.28,1.48
kiama,2161515.0,75.0,AU,1607567858.0,76.0,-34.68,150.87,23.89,20.59,0.89
biak,1637001.0,75.0,ID,1607567858.0,79.0,-0.91,122.88,27.3,27.3,5.6
narsaq,3421719.0,0.0,GL,1607567859.0,33.0,60.92,-46.05,-2.0,-2.0,6.2
bakchar,1511057.0,100.0,RU,1607567859.0,94.0,57.02,82.07,-13.38,-13.38,3.75
talcahuano,3870282.0,0.0,CL,1607567859.0,82.0,-36.72,-73.12,14.0,14.0,6.7
khuchni,549175.0,74.0,RU,1607567859.0,92.0,41.95,47.95,-0.8,-0.8,1.56
high prairie,5975034.0,61.0,CA,1607567859.0,68.0,55.43,-116.49,-2.0,-2.0,2.6
jahanabad,1269557.0,90.0,IN,1607567860.0,82.0,25.22,84.98,15.0,15.0,1.5
tura,1254046.0,0.0,IN,1607567860.0,60.0,25.52,90.22,21.46,21.46,0.18
norsup,2135517.0,75.0,VU,1607567860.0,79.0,-16.07,167.38,30.0,30.0,4.6
camacari,3468031.0,40.0,BR,1607567860.0,74.0,-12.7,-38.32,27.0,27.0,6.2
hervey bay,2146219.0,4.0,AU,1607567860.0,50.0,-25.3,152.85,28.89,28.89,1.79
tadine,2138285.0,80.0,NC,1607567860.0,72.0,-21.55,167.88,27.85,27.85,6.81
victoria,1819729.0,62.0,HK,1607567845.0,74.0,22.29,114.16,22.22,20.17,2.2
shitanjing,1794971.0,0.0,CN,1607567697.0,84.0,39.23,106.34,-5.09,-5.09,4.8
cockburn town,3576994.0,75.0,TC,1607567861.0,64.0,21.46,-71.14,24.0,24.0,2.6
mazabuka,907111.0,100.0,ZM,1607567862.0,93.0,-15.86,27.75,19.06,19.06,2.25
esil,1524296.0,92.0,KZ,1607567862.0,96.0,51.96,66.4,-13.48,-13.48,0.95
santa cruz,3904906.0,40.0,BO,1607567662.0,94.0,-17.8,-63.17,20.0,20.0,4.6
coquimbo,3893629.0,26.0,CL,1607567596.0,87.0,-29.95,-71.34,14.0,14.0,2.1
kaeo,2189343.0,0.0,NZ,1607567863.0,57.0,-35.1,173.78,26.67,26.67,4.47
whitehorse,6180550.0,5.0,CA,1607567863.0,85.0,60.72,-135.05,-9.0,-10.65,3.1
batagay,2027044.0,23.0,RU,1607567863.0,76.0,67.63,134.63,-39.66,-39.66,1.3
talnakh,1490256.0,33.0,RU,1607567822.0,68.0,69.49,88.4,-27.0,-27.0,7.0
saint-augustin,6137462.0,100.0,CA,1607567863.0,92.0,51.23,-58.65,0.74,0.74,3.01
santa isabel do rio negro,3662489.0,5.0,BR,1607567864.0,90.0,-0.41,-65.02,23.54,23.54,0.37
ketchikan,5554428.0,75.0,US,1607567864.0,93.0,55.34,-131.65,4.0,4.0,7.7
carberry,5916706.0,90.0,CA,1607567864.0,93.0,49.87,-99.36,2.0,2.0,2.1
kathu,1153035.0,20.0,TH,1607567864.0,61.0,7.92,98.33,28.89,28.52,4.6
mareeba,2158767.0,75.0,AU,1607567864.0,83.0,-17.0,145.43,30.0,28.76,4.6
havre-saint-pierre,5972291.0,90.0,CA,1607567865.0,80.0,50.23,-63.6,-1.0,-1.0,3.6
kitimat,5993072.0,100.0,CA,1607567865.0,95.0,54.05,-128.65,1.11,1.11,0.19
grindavik,3416888.0,90.0,IS,1607567865.0,93.0,63.84,-22.43,2.0,2.0,11.8
huasahuasi,3939123.0,92.0,PE,1607567865.0,100.0,-11.32,-75.62,5.64,5.64,0.71
sangar,2017215.0,75.0,RU,1607567866.0,82.0,63.92,127.47,-38.31,-38.31,1.42
manzhouli,2035836.0,0.0,CN,1607567866.0,83.0,49.6,117.43,-14.16,-14.16,10.2
blumberg,2947584.0,79.0,DE,1607567636.0,94.0,47.84,8.53,-0.56,-1.41,0.89
blagoyevo,576093.0,36.0,RU,1607567866.0,89.0,63.37,47.92,-6.51,-6.51,3.47
smirnykh,2121126.0,100.0,RU,1607567866.0,88.0,49.75,142.83,-6.52,-6.52,0.6
alghero,3183284.0,20.0,IT,1607567694.0,57.0,40.56,8.32,11.0,11.0,4.1
